場所,コースタイプ,芝・ダ,距離帯,馬場分類,枠ゾーン,血統区分,血統名,母数,勝利数,複勝数,勝率,複勝率,単勝回収率,複勝回収率,平均人気,基準複勝率,複勝率差,リフト,評価,特徴コメント
中京,直線長め・持続型,ダ,中距離(1700-2000),良,外枠(7-8),母父,クロフネ,98,5,27,0.051,0.2755,27.2,0.0,6.62,0.2087,0.0668,1.32,B,中京ダ中距離(1700-2000)・良・外枠(7-8)で母父「クロフネ」は基準比リフト1.32
東京,直線長め・持続型,芝,短中距離(1400-1600),良,中枠(3-6),母父,ゼンノロブロイ,86,9,23,0.1047,0.2674,43.0,0.0,8.03,0.2028,0.0646,1.319,B,東京芝短中距離(1400-1600)・良・中枠(3-6)で母父「ゼンノロブロイ」は基準比リフト1.319
中京,直線長め・持続型,芝,中距離(1700-2000),良,中枠(3-6),母父,トニービン,86,8,25,0.093,0.2907,36.4,0.0,6.9,0.2207,0.07,1.317,B,中京芝中距離(1700-2000)・良・中枠(3-6)で母父「トニービン」は基準比リフト1.317
東京,直線長め・持続型,芝,中距離(1700-2000),良,外枠(7-8),母父,クロフネ,85,9,24,0.1059,0.2824,192.1,0.0,6.32,0.2154,0.067,1.311,B,東京芝中距離(1700-2000)・良・外枠(7-8)で母父「クロフネ」は基準比リフト1.311
小倉,小回り・機動型,芝,短距離(1000-1300),良,中枠(3-6),母父,タイキシャトル,133,7,34,0.0526,0.2556,21.4,0.0,8.01,0.1949,0.0607,1.311,B,小倉芝短距離(1000-1300)・良・中枠(3-6)で母父「タイキシャトル」は基準比リフト1.311
東京,直線長め・持続型,ダ,短中距離(1400-1600),良,中枠(3-6),母父,Giant's Causeway,92,7,24,0.0761,0.2609,27.5,0.0,6.38,0.1997,0.0612,1.306,B,東京ダ短中距離(1400-1600)・良・中枠(3-6)で母父「Giant's Causeway」は基準比リフト1.306
中京,直線長め・持続型,ダ,中距離(1700-2000),良,中枠(3-6),母父,キングカメハメハ,124,14,35,0.1129,0.2823,109.4,0.0,7.05,0.2184,0.0639,1.293,B,中京ダ中距離(1700-2000)・良・中枠(3-6)で母父「キングカメハメハ」は基準比リフト1.293
新潟,直線長め・平坦型,芝,中距離(1700-2000),良,中枠(3-6),母父,ディープインパクト,104,15,29,0.1442,0.2788,64.3,0.0,7.25,0.2171,0.0617,1.284,B,新潟芝中距離(1700-2000)・良・中枠(3-6)で母父「ディープインパクト」は基準比リフト1.284
京都,平坦・スピード型,芝,短中距離(1400-1600),稍,中枠(3-6),母父,サンデーサイレンス,82,11,22,0.1341,0.2683,145.0,0.0,7.61,0.2103,0.058,1.276,B,京都芝短中距離(1400-1600)・稍・中枠(3-6)で母父「サンデーサイレンス」は基準比リフト1.276
札幌,小回り・持続型,芝,中距離(1700-2000),良,中枠(3-6),母父,キングカメハメハ,84,8,26,0.0952,0.3095,65.1,0.0,6.48,0.2428,0.0667,1.275,B,札幌芝中距離(1700-2000)・良・中枠(3-6)で母父「キングカメハメハ」は基準比リフト1.275
京都,平坦・スピード型,芝,短中距離(1400-1600),良,中枠(3-6),母父,フレンチデピュティ,143,14,39,0.0979,0.2727,202.4,0.0,6.71,0.2142,0.0585,1.273,B,京都芝短中距離(1400-1600)・良・中枠(3-6)で母父「フレンチデピュティ」は基準比リフト1.273
中山,坂あり・パワー型,ダ,中距離(1700-2000),良,外枠(7-8),母父,フレンチデピュティ,85,12,24,0.1412,0.2824,176.6,0.0,6.52,0.2226,0.0598,1.269,B,中山ダ中距離(1700-2000)・良・外枠(7-8)で母父「フレンチデピュティ」は基準比リフト1.269
中山,坂あり・パワー型,芝,短中距離(1400-1600),良,中枠(3-6),母父,ディープインパクト,90,4,23,0.0444,0.2556,26.8,0.0,6.71,0.2014,0.0542,1.269,B,中山芝短中距離(1400-1600)・良・中枠(3-6)で母父「ディープインパクト」は基準比リフト1.269
阪神,坂あり・パワー型,芝,中距離(1700-2000),良,内枠(1-2),母父,ディープインパクト,85,11,27,0.1294,0.3176,61.2,0.0,6.02,0.2505,0.0671,1.268,B,阪神芝中距離(1700-2000)・良・内枠(1-2)で母父「ディープインパクト」は基準比リフト1.268
小倉,小回り・機動型,芝,中距離(1700-2000),良,中枠(3-6),母父,キングカメハメハ,121,12,34,0.0992,0.281,70.0,0.0,6.79,0.2218,0.0592,1.267,B,小倉芝中距離(1700-2000)・良・中枠(3-6)で母父「キングカメハメハ」は基準比リフト1.267
