分類,場所,コースタイプ,芝・ダ,距離帯,馬場分類,枠ゾーン,血統区分,血統名,母数,勝利数,複勝数,勝率,複勝率,単勝回収率,複勝回収率,平均人気,基準複勝率,複勝率差,リフト,評価,特徴コメント
競馬場×距離帯×馬場×枠,小倉,小回り・機動型,芝,中距離(1700-2000),良,外枠(7-8),父,ハーツクライ,168,18,46,0.1071,0.2738,68.2,0.0,6.27,0.2048,0.069,1.337,A,小倉芝中距離(1700-2000)・良・外枠(7-8)で父「ハーツクライ」は基準比リフト1.337
競馬場×距離帯×馬場×枠,中山,坂あり・パワー型,ダ,中距離(1700-2000),良,中枠(3-6),母父,フレンチデピュティ,188,17,50,0.0904,0.266,32.6,0.0,7.15,0.199,0.067,1.337,A,中山ダ中距離(1700-2000)・良・中枠(3-6)で母父「フレンチデピュティ」は基準比リフト1.337
競馬場×距離帯×馬場×枠,京都,平坦・スピード型,芝,中距離(1700-2000),良,中枠(3-6),父,キングカメハメハ,254,25,83,0.0984,0.3268,36.3,0.0,5.8,0.2454,0.0814,1.332,A,京都芝中距離(1700-2000)・良・中枠(3-6)で父「キングカメハメハ」は基準比リフト1.332
競馬場×距離帯×馬場×枠,札幌,小回り・持続型,ダ,短距離(1000-1300),良,中枠(3-6),父系統,ネイティヴダンサー系,294,24,100,0.0816,0.3401,41.3,0.0,5.81,0.2558,0.0843,1.33,A,札幌ダ短距離(1000-1300)・良・中枠(3-6)で父系統「ネイティヴダンサー系」は基準比リフト1.33
競馬場×距離帯×馬場×枠,新潟,直線長め・平坦型,ダ,中距離(1700-2000),良,中枠(3-6),父,シンボリクリスエス,158,8,45,0.0506,0.2848,32.9,0.0,6.18,0.2144,0.0704,1.328,A,新潟ダ中距離(1700-2000)・良・中枠(3-6)で父「シンボリクリスエス」は基準比リフト1.328
競馬場×距離帯×馬場×枠,京都,平坦・スピード型,ダ,短距離(1000-1300),良,中枠(3-6),父,サウスヴィグラス,201,18,52,0.0896,0.2587,138.8,0.0,7.35,0.1949,0.0638,1.327,A,京都ダ短距離(1000-1300)・良・中枠(3-6)で父「サウスヴィグラス」は基準比リフト1.327
競馬場×距離帯×馬場×枠,中山,坂あり・パワー型,ダ,短距離(1000-1300),良,中枠(3-6),父,キンシャサノキセキ,188,14,48,0.0745,0.2553,85.6,0.0,7.22,0.1927,0.0626,1.325,A,中山ダ短距離(1000-1300)・良・中枠(3-6)で父「キンシャサノキセキ」は基準比リフト1.325
競馬場×距離帯×馬場×枠,小倉,小回り・機動型,芝,中距離(1700-2000),良,中枠(3-6),父,キングカメハメハ,184,25,54,0.1359,0.2935,101.7,0.0,6.24,0.2218,0.0717,1.323,A,小倉芝中距離(1700-2000)・良・中枠(3-6)で父「キングカメハメハ」は基準比リフト1.323
競馬場×距離帯×馬場×枠,阪神,坂あり・パワー型,ダ,短中距離(1400-1600),良,中枠(3-6),父系統,ナスルーラ系,346,26,93,0.0751,0.2688,57.6,0.0,7.36,0.2031,0.0657,1.323,A,阪神ダ短中距離(1400-1600)・良・中枠(3-6)で父系統「ナスルーラ系」は基準比リフト1.323
競馬場×距離帯×馬場×枠,福島,小回り・機動型,芝,長距離(2500以上),良,外枠(7-8),父系統,父系統不明,184,20,49,0.1087,0.2663,82.1,0.0,6.97,0.2014,0.0649,1.322,A,福島芝長距離(2500以上)・良・外枠(7-8)で父系統「父系統不明」は基準比リフト1.322
