場所,コースタイプ,芝・ダ,距離帯,馬場分類,枠ゾーン,血統区分,血統名,母数,勝利数,複勝数,勝率,複勝率,単勝回収率,複勝回収率,平均人気,基準複勝率,複勝率差,リフト,評価,特徴コメント
阪神,坂あり・パワー型,ダ,中距離(1700-2000),稍,外枠(7-8),母父系統,ネイティヴダンサー系,351,41,95,0.1168,0.2707,87.6,0.0,7.18,0.2427,0.028,1.115,A,阪神ダ中距離(1700-2000)・稍・外枠(7-8)で母父系統「ネイティヴダンサー系」は基準比リフト1.115
小倉,小回り・機動型,芝,長距離(2500以上),良,中枠(3-6),母父系統,ニアークティック系,446,46,127,0.1031,0.2848,79.9,0.0,6.26,0.2556,0.0292,1.114,A,小倉芝長距離(2500以上)・良・中枠(3-6)で母父系統「ニアークティック系」は基準比リフト1.114
阪神,坂あり・パワー型,ダ,短距離(1000-1300),良,外枠(7-8),母父系統,ネイティヴダンサー系,498,49,115,0.0984,0.2309,94.0,0.0,7.84,0.2072,0.0237,1.114,A,阪神ダ短距離(1000-1300)・良・外枠(7-8)で母父系統「ネイティヴダンサー系」は基準比リフト1.114
福島,小回り・機動型,芝,短距離(1000-1300),良,外枠(7-8),母父系統,ニアークティック系,737,53,161,0.0719,0.2185,61.4,0.0,8.07,0.1962,0.0223,1.114,A,福島芝短距離(1000-1300)・良・外枠(7-8)で母父系統「ニアークティック系」は基準比リフト1.114
阪神,坂あり・パワー型,ダ,短中距離(1400-1600),不,中枠(3-6),母父系統,ネイティヴダンサー系,161,17,40,0.1056,0.2484,83.9,0.0,7.65,0.2231,0.0253,1.113,A,阪神ダ短中距離(1400-1600)・不・中枠(3-6)で母父系統「ネイティヴダンサー系」は基準比リフト1.113
中京,直線長め・持続型,芝,短距離(1000-1300),良,内枠(1-2),母父系統,ロイヤルチャージャー系,280,25,60,0.0893,0.2143,126.8,0.0,8.86,0.1925,0.0218,1.113,A,中京芝短距離(1000-1300)・良・内枠(1-2)で母父系統「ロイヤルチャージャー系」は基準比リフト1.113
東京,直線長め・持続型,ダ,短中距離(1400-1600),良,内枠(1-2),母父系統,ネイティヴダンサー系,1587,109,296,0.0687,0.1865,49.9,0.0,8.1,0.1677,0.0188,1.112,A,東京ダ短中距離(1400-1600)・良・内枠(1-2)で母父系統「ネイティヴダンサー系」は基準比リフト1.112
中京,直線長め・持続型,ダ,中距離(1700-2000),良,外枠(7-8),母父系統,ナスルーラ系,272,24,63,0.0882,0.2316,245.4,0.0,7.3,0.2087,0.0229,1.11,A,中京ダ中距離(1700-2000)・良・外枠(7-8)で母父系統「ナスルーラ系」は基準比リフト1.11
小倉,小回り・機動型,ダ,中距離(1700-2000),稍,外枠(7-8),母父系統,ネイティヴダンサー系,219,12,46,0.0548,0.21,56.2,0.0,8.39,0.1892,0.0208,1.11,A,小倉ダ中距離(1700-2000)・稍・外枠(7-8)で母父系統「ネイティヴダンサー系」は基準比リフト1.11
新潟,直線長め・平坦型,芝,長距離(2500以上),良,中枠(3-6),母父系統,ナスルーラ系,176,11,44,0.0625,0.25,75.0,0.0,7.5,0.2255,0.0245,1.109,A,新潟芝長距離(2500以上)・良・中枠(3-6)で母父系統「ナスルーラ系」は基準比リフト1.109
