競馬場,芝ダ,距離,条件数,消寄項目1,消寄条件1,消寄項目2,消寄条件2,消寄項目3,消寄条件3,過去該当頭数,過去複勝圏内数,過去複勝率,コース頭数,コース複勝率,リフト,該当率,消寄ランク,広すぎ注意,消寄理由
新潟,芝,1200,2,前走着差帯,1.5-1.9秒負け,前走着順帯,前走6-9着,,,22,0,0.0,1431,18.66,0.0,1.54,消寄A,,前走着差帯=1.5-1.9秒負け + 前走着順帯=前走6-9着
新潟,芝,1200,2,芝ダ替わり,芝→芝,前走着差帯,2.0秒以上負け,,,74,1,1.35,1431,18.66,0.072,5.17,消寄A,,芝ダ替わり=芝→芝 + 前走着差帯=2.0秒以上負け
新潟,芝,1200,2,前走4角位置,4角11番手以下,休み明け区分,休み明け2戦目,,,54,1,1.85,1431,18.66,0.099,3.77,消寄A,,前走4角位置=4角11番手以下 + 休み明け区分=休み明け2戦目
新潟,芝,1200,2,芝ダ替わり,ダ→芝,頭数変化,今回かなり頭数増,,,50,1,2.0,1431,18.66,0.107,3.49,消寄A,,芝ダ替わり=ダ→芝 + 頭数変化=今回かなり頭数増
新潟,芝,1200,2,前走着差帯,1.5-1.9秒負け,頭数変化,今回頭数増,,,39,1,2.56,1431,18.66,0.137,2.73,消寄A,,前走着差帯=1.5-1.9秒負け + 頭数変化=今回頭数増
新潟,芝,1200,2,距離変化帯,延長100-200m,前走4角位置,4角11番手以下,,,37,1,2.7,1431,18.66,0.145,2.59,消寄A,,距離変化帯=延長100-200m + 前走4角位置=4角11番手以下
新潟,芝,1200,2,距離変化帯,短縮100-200m,前走着差帯,2.0秒以上負け,,,35,1,2.86,1431,18.66,0.153,2.45,消寄A,,距離変化帯=短縮100-200m + 前走着差帯=2.0秒以上負け
新潟,芝,1200,2,距離変化帯,延長100-200m,頭数変化,今回頭数増,,,34,1,2.94,1431,18.66,0.158,2.38,消寄A,,距離変化帯=延長100-200m + 頭数変化=今回頭数増
新潟,芝,1200,2,前走着差帯,2.0秒以上負け,頭数変化,同頭数,,,34,1,2.94,1431,18.66,0.158,2.38,消寄A,,前走着差帯=2.0秒以上負け + 頭数変化=同頭数
新潟,芝,1200,2,芝ダ替わり,芝→芝,前走着差帯,1.5-1.9秒負け,,,80,3,3.75,1431,18.66,0.201,5.59,消寄B,,芝ダ替わり=芝→芝 + 前走着差帯=1.5-1.9秒負け
新潟,芝,1200,2,前走着差帯,2.0秒以上負け,今回頭数帯,16頭以上,,,127,5,3.94,1431,18.66,0.211,8.87,消寄B,,前走着差帯=2.0秒以上負け + 今回頭数帯=16頭以上
新潟,芝,1200,2,前走脚質帯,追込/後方,休み明け区分,休み明け2戦目,,,66,3,4.55,1431,18.66,0.244,4.61,消寄B,,前走脚質帯=追込/後方 + 休み明け区分=休み明け2戦目
新潟,芝,1200,2,前走着差帯,1.5-1.9秒負け,今回頭数帯,16頭以上,,,84,4,4.76,1431,18.66,0.255,5.87,消寄B,,前走着差帯=1.5-1.9秒負け + 今回頭数帯=16頭以上
新潟,芝,1200,2,前走着差帯,1.5-1.9秒負け,前走上り順帯,上り10位以下,,,82,4,4.88,1431,18.66,0.261,5.73,消寄B,,前走着差帯=1.5-1.9秒負け + 前走上り順帯=上り10位以下
新潟,芝,1400,2,距離変化帯,短縮500m以上,前走着差帯,2.0秒以上負け,,,23,0,0.0,1848,18.78,0.0,1.24,消寄A,,距離変化帯=短縮500m以上 + 前走着差帯=2.0秒以上負け
新潟,芝,1400,2,距離変化帯,短縮300-400m,前走4角位置,4角7-10番手,,,37,1,2.7,1848,18.78,0.144,2.0,消寄A,,距離変化帯=短縮300-400m + 前走4角位置=4角7-10番手
新潟,芝,1400,2,前走着順帯,前走10着以下,前走上り順帯,上り6-9位,,,111,4,3.6,1848,18.78,0.192,6.01,消寄B,,前走着順帯=前走10着以下 + 前走上り順帯=上り6-9位
新潟,芝,1400,2,前走上り順帯,上り6-9位,前走4角位置,4角11番手以下,,,76,3,3.95,1848,18.78,0.21,4.11,消寄B,,前走上り順帯=上り6-9位 + 前走4角位置=4角11番手以下
新潟,芝,1400,2,芝ダ替わり,ダ→芝,頭数変化,今回かなり頭数増,,,75,3,4.0,1848,18.78,0.213,4.06,消寄B,,芝ダ替わり=ダ→芝 + 頭数変化=今回かなり頭数増
新潟,芝,1400,2,前走着順帯,前走10着以下,頭数変化,今回かなり頭数増,,,97,4,4.12,1848,18.78,0.22,5.25,消寄B,,前走着順帯=前走10着以下 + 頭数変化=今回かなり頭数増
新潟,芝,1400,2,芝ダ替わり,ダ→芝,前走着差帯,2.0秒以上負け,,,92,4,4.35,1848,18.78,0.232,4.98,消寄B,,芝ダ替わり=ダ→芝 + 前走着差帯=2.0秒以上負け
新潟,芝,1400,2,芝ダ替わり,ダ→芝,前走脚質帯,追込/後方,,,68,3,4.41,1848,18.78,0.235,3.68,消寄B,,芝ダ替わり=ダ→芝 + 前走脚質帯=追込/後方
新潟,芝,1400,2,前走着差帯,2.0秒以上負け,頭数変化,今回頭数増,,,87,4,4.6,1848,18.78,0.245,4.71,消寄B,,前走着差帯=2.0秒以上負け + 頭数変化=今回頭数増
新潟,芝,1400,2,前走着差帯,2.0秒以上負け,前走4角位置,4角11番手以下,,,61,3,4.92,1848,18.78,0.262,3.3,消寄B,,前走着差帯=2.0秒以上負け + 前走4角位置=4角11番手以下
新潟,芝,1400,2,前走着差帯,2.0秒以上負け,前走脚質帯,追込/後方,,,80,4,5.0,1848,18.78,0.266,4.33,消寄B,,前走着差帯=2.0秒以上負け + 前走脚質帯=追込/後方
新潟,芝,1400,2,芝ダ替わり,ダ→芝,前走着順帯,前走10着以下,,,115,6,5.22,1848,18.78,0.278,6.22,消寄C,,芝ダ替わり=ダ→芝 + 前走着順帯=前走10着以下
新潟,芝,1400,2,前走着順帯,前走10着以下,前走脚質帯,追込/後方,,,263,15,5.7,1848,18.78,0.304,14.23,消寄C,,前走着順帯=前走10着以下 + 前走脚質帯=追込/後方
新潟,芝,1400,2,距離変化帯,延長100-200m,前走4角位置,4角11番手以下,,,137,8,5.84,1848,18.78,0.311,7.41,消寄C,,距離変化帯=延長100-200m + 前走4角位置=4角11番手以下
新潟,芝,1400,2,前走上り順帯,上り6-9位,前走脚質帯,追込/後方,,,102,6,5.88,1848,18.78,0.313,5.52,消寄C,,前走上り順帯=上り6-9位 + 前走脚質帯=追込/後方
新潟,芝,1400,2,前走着順帯,前走10着以下,休み明け区分,休み明け2戦目,,,118,7,5.93,1848,18.78,0.316,6.39,消寄C,,前走着順帯=前走10着以下 + 休み明け区分=休み明け2戦目
新潟,芝,1400,2,距離変化帯,延長100-200m,前走脚質帯,追込/後方,,,168,10,5.95,1848,18.78,0.317,9.09,消寄C,,距離変化帯=延長100-200m + 前走脚質帯=追込/後方
新潟,芝,1400,2,前走着順帯,前走10着以下,前走4角位置,4角7-10番手,,,183,11,6.01,1848,18.78,0.32,9.9,消寄C,,前走着順帯=前走10着以下 + 前走4角位置=4角7-10番手
新潟,芝,1400,2,前走着差帯,2.0秒以上負け,前走着順帯,前走10着以下,,,176,11,6.25,1848,18.78,0.333,9.52,消寄C,,前走着差帯=2.0秒以上負け + 前走着順帯=前走10着以下
新潟,芝,1400,2,前走着順帯,前走10着以下,前走4角位置,4角11番手以下,,,232,15,6.47,1848,18.78,0.344,12.55,消寄C,,前走着順帯=前走10着以下 + 前走4角位置=4角11番手以下
新潟,芝,1600,2,前走着差帯,1.5-1.9秒負け,休み明け区分,休み明け4戦目以降,,,38,0,0.0,1802,20.14,0.0,2.11,消寄A,,前走着差帯=1.5-1.9秒負け + 休み明け区分=休み明け4戦目以降
新潟,芝,1600,2,距離変化帯,延長300-400m,休み明け区分,休み明け2戦目,,,29,0,0.0,1802,20.14,0.0,1.61,消寄A,,距離変化帯=延長300-400m + 休み明け区分=休み明け2戦目
新潟,芝,1600,2,距離変化帯,短縮500m以上,前走着差帯,2.0秒以上負け,,,20,0,0.0,1802,20.14,0.0,1.11,消寄A,,距離変化帯=短縮500m以上 + 前走着差帯=2.0秒以上負け
新潟,芝,1600,2,距離変化帯,短縮100-200m,前走着差帯,2.0秒以上負け,,,62,1,1.61,1802,20.14,0.08,3.44,消寄A,,距離変化帯=短縮100-200m + 前走着差帯=2.0秒以上負け
新潟,芝,1600,2,前走着差帯,2.0秒以上負け,前走4角位置,4角7-10番手,,,52,1,1.92,1802,20.14,0.095,2.89,消寄A,,前走着差帯=2.0秒以上負け + 前走4角位置=4角7-10番手
新潟,芝,1600,2,芝ダ替わり,ダ→芝,頭数変化,今回かなり頭数増,,,43,1,2.33,1802,20.14,0.115,2.39,消寄A,,芝ダ替わり=ダ→芝 + 頭数変化=今回かなり頭数増
新潟,芝,1600,2,距離変化帯,延長300-400m,前走着差帯,1.0-1.4秒負け,,,38,1,2.63,1802,20.14,0.131,2.11,消寄A,,距離変化帯=延長300-400m + 前走着差帯=1.0-1.4秒負け
新潟,芝,1600,2,距離変化帯,延長300-400m,休み明け区分,休み明け4戦目以降,,,37,1,2.7,1802,20.14,0.134,2.05,消寄A,,距離変化帯=延長300-400m + 休み明け区分=休み明け4戦目以降
新潟,芝,1600,2,距離変化帯,延長300-400m,今回頭数帯,12-15頭,,,35,1,2.86,1802,20.14,0.142,1.94,消寄A,,距離変化帯=延長300-400m + 今回頭数帯=12-15頭
新潟,芝,1600,2,距離変化帯,延長100-200m,頭数変化,今回かなり頭数増,,,54,2,3.7,1802,20.14,0.184,3.0,消寄B,,距離変化帯=延長100-200m + 頭数変化=今回かなり頭数増
新潟,芝,1600,2,前走着差帯,2.0秒以上負け,頭数変化,今回頭数増,,,60,3,5.0,1802,20.14,0.248,3.33,消寄B,,前走着差帯=2.0秒以上負け + 頭数変化=今回頭数増
新潟,芝,1600,2,芝ダ替わり,ダ→芝,今回頭数帯,16頭以上,,,125,7,5.6,1802,20.14,0.278,6.94,消寄C,,芝ダ替わり=ダ→芝 + 今回頭数帯=16頭以上
新潟,芝,1600,2,前走着順帯,前走10着以下,休み明け区分,休み明け4戦目以降,,,116,7,6.03,1802,20.14,0.3,6.44,消寄C,,前走着順帯=前走10着以下 + 休み明け区分=休み明け4戦目以降
新潟,芝,1600,2,前走脚質帯,追込/後方,休み明け区分,休み明け4戦目以降,,,110,7,6.36,1802,20.14,0.316,6.1,消寄C,,前走脚質帯=追込/後方 + 休み明け区分=休み明け4戦目以降
新潟,芝,1600,2,前走着順帯,前走10着以下,頭数変化,今回頭数増,,,164,11,6.71,1802,20.14,0.333,9.1,消寄C,,前走着順帯=前走10着以下 + 頭数変化=今回頭数増
新潟,芝,1600,2,前走着差帯,2.0秒以上負け,今回頭数帯,16頭以上,,,120,9,7.5,1802,20.14,0.372,6.66,消寄C,,前走着差帯=2.0秒以上負け + 今回頭数帯=16頭以上
新潟,芝,1600,2,前走着差帯,2.0秒以上負け,前走着順帯,前走10着以下,,,155,12,7.74,1802,20.14,0.384,8.6,消寄C,,前走着差帯=2.0秒以上負け + 前走着順帯=前走10着以下
新潟,芝,1600,2,前走着順帯,前走10着以下,前走4角位置,4角7-10番手,,,155,12,7.74,1802,20.14,0.384,8.6,消寄C,,前走着順帯=前走10着以下 + 前走4角位置=4角7-10番手
新潟,芝,1600,2,前走上り順帯,上り10位以下,前走4角位置,4角7-10番手,,,115,9,7.83,1802,20.14,0.389,6.38,消寄C,,前走上り順帯=上り10位以下 + 前走4角位置=4角7-10番手
新潟,芝,1800,2,芝ダ替わり,ダ→芝,休み明け区分,休み明け3戦目,,,31,0,0.0,2159,21.86,0.0,1.44,消寄A,,芝ダ替わり=ダ→芝 + 休み明け区分=休み明け3戦目
新潟,芝,1800,2,距離変化帯,延長300-400m,前走4角位置,4角7-10番手,,,23,0,0.0,2159,21.86,0.0,1.07,消寄A,,距離変化帯=延長300-400m + 前走4角位置=4角7-10番手
新潟,芝,1800,2,距離変化帯,延長500m以上,休み明け区分,休み明け2戦目,,,22,0,0.0,2159,21.86,0.0,1.02,消寄A,,距離変化帯=延長500m以上 + 休み明け区分=休み明け2戦目
新潟,芝,1800,2,前走着順帯,前走10着以下,頭数変化,今回かなり頭数増,,,45,1,2.22,2159,21.86,0.102,2.08,消寄A,,前走着順帯=前走10着以下 + 頭数変化=今回かなり頭数増
新潟,芝,1800,2,前走着差帯,2.0秒以上負け,頭数変化,今回かなり頭数増,,,42,1,2.38,2159,21.86,0.109,1.95,消寄A,,前走着差帯=2.0秒以上負け + 頭数変化=今回かなり頭数増
新潟,芝,1800,2,前走着差帯,2.0秒以上負け,休み明け区分,休み明け2戦目,,,73,2,2.74,2159,21.86,0.125,3.38,消寄A,,前走着差帯=2.0秒以上負け + 休み明け区分=休み明け2戦目
新潟,芝,1800,2,芝ダ替わり,ダ→芝,今回頭数帯,16頭以上,,,98,3,3.06,2159,21.86,0.14,4.54,消寄B,,芝ダ替わり=ダ→芝 + 今回頭数帯=16頭以上
新潟,芝,1800,2,前走着差帯,1.5-1.9秒負け,頭数変化,今回頭数減,,,54,2,3.7,2159,21.86,0.169,2.5,消寄B,,前走着差帯=1.5-1.9秒負け + 頭数変化=今回頭数減
新潟,芝,1800,2,前走着差帯,2.0秒以上負け,前走4角位置,4角11番手以下,,,97,4,4.12,2159,21.86,0.189,4.49,消寄B,,前走着差帯=2.0秒以上負け + 前走4角位置=4角11番手以下
新潟,芝,1800,2,芝ダ替わり,ダ→芝,前走4角位置,4角7-10番手,,,64,3,4.69,2159,21.86,0.214,2.96,消寄B,,芝ダ替わり=ダ→芝 + 前走4角位置=4角7-10番手
新潟,芝,1800,2,前走着差帯,1.5-1.9秒負け,前走着順帯,前走6-9着,,,64,3,4.69,2159,21.86,0.214,2.96,消寄B,,前走着差帯=1.5-1.9秒負け + 前走着順帯=前走6-9着
新潟,芝,1800,2,前走上り順帯,上り10位以下,前走4角位置,4角11番手以下,,,107,6,5.61,2159,21.86,0.256,4.96,消寄C,,前走上り順帯=上り10位以下 + 前走4角位置=4角11番手以下
新潟,芝,1800,2,前走着差帯,2.0秒以上負け,前走脚質帯,追込/後方,,,123,7,5.69,2159,21.86,0.26,5.7,消寄C,,前走着差帯=2.0秒以上負け + 前走脚質帯=追込/後方
新潟,芝,1800,2,前走着差帯,2.0秒以上負け,今回頭数帯,16頭以上,,,137,8,5.84,2159,21.86,0.267,6.35,消寄C,,前走着差帯=2.0秒以上負け + 今回頭数帯=16頭以上
新潟,芝,1800,2,芝ダ替わり,ダ→芝,前走上り順帯,上り10位以下,,,101,6,5.94,2159,21.86,0.272,4.68,消寄C,,芝ダ替わり=ダ→芝 + 前走上り順帯=上り10位以下
新潟,芝,1800,2,前走着差帯,1.5-1.9秒負け,前走上り順帯,上り10位以下,,,111,7,6.31,2159,21.86,0.288,5.14,消寄C,,前走着差帯=1.5-1.9秒負け + 前走上り順帯=上り10位以下
新潟,芝,1800,2,前走上り順帯,上り10位以下,前走脚質帯,追込/後方,,,126,9,7.14,2159,21.86,0.327,5.84,消寄C,,前走上り順帯=上り10位以下 + 前走脚質帯=追込/後方
新潟,芝,1800,2,前走着順帯,前走10着以下,今回頭数帯,16頭以上,,,278,20,7.19,2159,21.86,0.329,12.88,消寄C,,前走着順帯=前走10着以下 + 今回頭数帯=16頭以上
新潟,芝,1800,2,芝ダ替わり,芝→芝,前走着差帯,1.5-1.9秒負け,,,177,13,7.34,2159,21.86,0.336,8.2,消寄C,,芝ダ替わり=芝→芝 + 前走着差帯=1.5-1.9秒負け
新潟,芝,1800,2,芝ダ替わり,ダ→芝,前走着順帯,前走10着以下,,,122,9,7.38,2159,21.86,0.337,5.65,消寄C,,芝ダ替わり=ダ→芝 + 前走着順帯=前走10着以下
新潟,芝,2000,2,前走着差帯,2.0秒以上負け,今回頭数帯,9-11頭,,,41,0,0.0,1851,23.07,0.0,2.22,消寄A,,前走着差帯=2.0秒以上負け + 今回頭数帯=9-11頭
新潟,芝,2000,2,芝ダ替わり,ダ→芝,距離変化帯,延長500m以上,,,25,0,0.0,1851,23.07,0.0,1.35,消寄A,,芝ダ替わり=ダ→芝 + 距離変化帯=延長500m以上
新潟,芝,2000,2,距離変化帯,延長100-200m,前走着差帯,2.0秒以上負け,,,57,1,1.75,1851,23.07,0.076,3.08,消寄A,,距離変化帯=延長100-200m + 前走着差帯=2.0秒以上負け
新潟,芝,2000,2,前走着差帯,2.0秒以上負け,休み明け区分,休み明け4戦目以降,,,52,1,1.92,1851,23.07,0.083,2.81,消寄A,,前走着差帯=2.0秒以上負け + 休み明け区分=休み明け4戦目以降
新潟,芝,2000,2,芝ダ替わり,ダ→芝,前走4角位置,4角11番手以下,,,48,1,2.08,1851,23.07,0.09,2.59,消寄A,,芝ダ替わり=ダ→芝 + 前走4角位置=4角11番手以下
新潟,芝,2000,2,芝ダ替わり,ダ→芝,前走着差帯,2.0秒以上負け,,,88,2,2.27,1851,23.07,0.099,4.75,消寄A,,芝ダ替わり=ダ→芝 + 前走着差帯=2.0秒以上負け
新潟,芝,2000,2,芝ダ替わり,ダ→芝,前走着順帯,前走10着以下,,,84,2,2.38,1851,23.07,0.103,4.54,消寄A,,芝ダ替わり=ダ→芝 + 前走着順帯=前走10着以下
新潟,芝,2000,2,前走着差帯,2.0秒以上負け,前走4角位置,4角11番手以下,,,84,2,2.38,1851,23.07,0.103,4.54,消寄A,,前走着差帯=2.0秒以上負け + 前走4角位置=4角11番手以下
新潟,芝,2000,2,距離変化帯,延長300-400m,前走着差帯,2.0秒以上負け,,,40,1,2.5,1851,23.07,0.108,2.16,消寄A,,距離変化帯=延長300-400m + 前走着差帯=2.0秒以上負け
新潟,芝,2000,2,芝ダ替わり,ダ→芝,前走脚質帯,追込/後方,,,67,2,2.99,1851,23.07,0.129,3.62,消寄A,,芝ダ替わり=ダ→芝 + 前走脚質帯=追込/後方
新潟,芝,2000,2,前走着差帯,2.0秒以上負け,今回頭数帯,12-15頭,,,78,3,3.85,1851,23.07,0.167,4.21,消寄B,,前走着差帯=2.0秒以上負け + 今回頭数帯=12-15頭
新潟,芝,2000,2,芝ダ替わり,ダ→芝,前走上り順帯,上り10位以下,,,70,3,4.29,1851,23.07,0.186,3.78,消寄B,,芝ダ替わり=ダ→芝 + 前走上り順帯=上り10位以下
新潟,芝,2000,2,前走着差帯,2.0秒以上負け,前走脚質帯,追込/後方,,,113,5,4.42,1851,23.07,0.192,6.1,消寄B,,前走着差帯=2.0秒以上負け + 前走脚質帯=追込/後方
新潟,芝,2000,2,芝ダ替わり,ダ→芝,距離変化帯,延長100-200m,,,65,3,4.62,1851,23.07,0.2,3.51,消寄B,,芝ダ替わり=ダ→芝 + 距離変化帯=延長100-200m
新潟,芝,2000,2,前走上り順帯,上り10位以下,前走4角位置,4角11番手以下,,,83,4,4.82,1851,23.07,0.209,4.48,消寄B,,前走上り順帯=上り10位以下 + 前走4角位置=4角11番手以下
新潟,芝,2000,2,前走上り順帯,上り10位以下,前走脚質帯,追込/後方,,,100,5,5.0,1851,23.07,0.217,5.4,消寄B,,前走上り順帯=上り10位以下 + 前走脚質帯=追込/後方
新潟,芝,2000,2,前走着差帯,2.0秒以上負け,前走上り順帯,上り10位以下,,,163,11,6.75,1851,23.07,0.293,8.81,消寄C,,前走着差帯=2.0秒以上負け + 前走上り順帯=上り10位以下
新潟,芝,2000,2,前走着差帯,2.0秒以上負け,前走着順帯,前走10着以下,,,182,13,7.14,1851,23.07,0.31,9.83,消寄C,,前走着差帯=2.0秒以上負け + 前走着順帯=前走10着以下
新潟,芝,2000,2,前走着順帯,前走10着以下,頭数変化,今回頭数増,,,116,9,7.76,1851,23.07,0.336,6.27,消寄C,,前走着順帯=前走10着以下 + 頭数変化=今回頭数増
新潟,芝,2200,2,芝ダ替わり,ダ→芝,距離変化帯,延長500m以上,,,26,0,0.0,905,23.87,0.0,2.87,消寄A,,芝ダ替わり=ダ→芝 + 距離変化帯=延長500m以上
新潟,芝,2200,2,距離変化帯,延長500m以上,前走着順帯,前走10着以下,,,22,0,0.0,905,23.87,0.0,2.43,消寄A,,距離変化帯=延長500m以上 + 前走着順帯=前走10着以下
新潟,芝,2200,2,芝ダ替わり,ダ→芝,前走上り順帯,上り10位以下,,,21,0,0.0,905,23.87,0.0,2.32,消寄A,,芝ダ替わり=ダ→芝 + 前走上り順帯=上り10位以下
新潟,芝,2200,2,距離変化帯,短縮300-400m,今回頭数帯,16頭以上,,,21,0,0.0,905,23.87,0.0,2.32,消寄A,,距離変化帯=短縮300-400m + 今回頭数帯=16頭以上
新潟,芝,2200,2,前走着順帯,前走6-9着,前走脚質帯,逃げ,,,20,0,0.0,905,23.87,0.0,2.21,消寄A,,前走着順帯=前走6-9着 + 前走脚質帯=逃げ
新潟,芝,2400,2,前走上り順帯,上り10位以下,今回頭数帯,12-15頭,,,31,0,0.0,405,24.44,0.0,7.65,消寄A,,前走上り順帯=上り10位以下 + 今回頭数帯=12-15頭
新潟,芝,2400,2,距離変化帯,延長500m以上,今回頭数帯,12-15頭,,,25,0,0.0,405,24.44,0.0,6.17,消寄A,,距離変化帯=延長500m以上 + 今回頭数帯=12-15頭
新潟,芝,2400,2,距離変化帯,延長500m以上,前走着順帯,前走10着以下,,,22,0,0.0,405,24.44,0.0,5.43,消寄A,,距離変化帯=延長500m以上 + 前走着順帯=前走10着以下
新潟,芝,2400,2,前走着差帯,2.0秒以上負け,前走脚質帯,追込/後方,,,36,1,2.78,405,24.44,0.114,8.89,消寄A,,前走着差帯=2.0秒以上負け + 前走脚質帯=追込/後方
新潟,芝,2400,2,芝ダ替わり,芝→芝,前走上り順帯,上り10位以下,,,50,2,4.0,405,24.44,0.164,12.35,消寄B,,芝ダ替わり=芝→芝 + 前走上り順帯=上り10位以下
新潟,芝,2400,2,前走着順帯,前走10着以下,前走上り順帯,上り10位以下,,,50,2,4.0,405,24.44,0.164,12.35,消寄B,,前走着順帯=前走10着以下 + 前走上り順帯=上り10位以下
札幌,ダ,1000,2,前走4角位置,4角7-10番手,頭数変化,今回頭数増,,,23,0,0.0,651,25.81,0.0,3.53,消寄A,,前走4角位置=4角7-10番手 + 頭数変化=今回頭数増
札幌,ダ,1000,2,前走着差帯,1.5-1.9秒負け,頭数変化,同頭数,,,21,0,0.0,651,25.81,0.0,3.23,消寄A,,前走着差帯=1.5-1.9秒負け + 頭数変化=同頭数
札幌,ダ,1700,2,前走着差帯,2.0秒以上負け,頭数変化,今回かなり頭数増,,,46,1,2.17,2655,23.05,0.094,1.73,消寄A,,前走着差帯=2.0秒以上負け + 頭数変化=今回かなり頭数増
札幌,ダ,1700,2,前走着順帯,前走10着以下,頭数変化,今回頭数増,,,114,6,5.26,2655,23.05,0.228,4.29,消寄C,,前走着順帯=前走10着以下 + 頭数変化=今回頭数増
札幌,ダ,1700,2,前走上り順帯,上り10位以下,前走4角位置,4角11番手以下,,,128,9,7.03,2655,23.05,0.305,4.82,消寄C,,前走上り順帯=上り10位以下 + 前走4角位置=4角11番手以下
札幌,ダ,1700,2,距離変化帯,同距離,前走着順帯,前走10着以下,,,269,19,7.06,2655,23.05,0.306,10.13,消寄C,,距離変化帯=同距離 + 前走着順帯=前走10着以下
札幌,ダ,1700,2,前走着順帯,前走10着以下,頭数変化,同頭数,,,177,13,7.34,2655,23.05,0.319,6.67,消寄C,,前走着順帯=前走10着以下 + 頭数変化=同頭数
札幌,ダ,1700,2,前走着順帯,前走10着以下,休み明け区分,休み明け2戦目,,,139,11,7.91,2655,23.05,0.343,5.24,消寄C,,前走着順帯=前走10着以下 + 休み明け区分=休み明け2戦目
札幌,芝,1200,2,前走着差帯,1.0-1.4秒負け,前走4角位置,4角2-3番手,,,37,0,0.0,1959,20.62,0.0,1.89,消寄A,,前走着差帯=1.0-1.4秒負け + 前走4角位置=4角2-3番手
札幌,芝,1200,2,前走着差帯,1.5-1.9秒負け,前走4角位置,4角7-10番手,,,32,0,0.0,1959,20.62,0.0,1.63,消寄A,,前走着差帯=1.5-1.9秒負け + 前走4角位置=4角7-10番手
札幌,芝,1200,2,前走着差帯,1.5-1.9秒負け,前走脚質帯,差し/中団,,,29,0,0.0,1959,20.62,0.0,1.48,消寄A,,前走着差帯=1.5-1.9秒負け + 前走脚質帯=差し/中団
札幌,芝,1200,2,距離変化帯,延長100-200m,頭数変化,今回頭数増,,,26,0,0.0,1959,20.62,0.0,1.33,消寄A,,距離変化帯=延長100-200m + 頭数変化=今回頭数増
札幌,芝,1200,2,前走着差帯,1.5-1.9秒負け,休み明け区分,休み明け2戦目,,,21,0,0.0,1959,20.62,0.0,1.07,消寄A,,前走着差帯=1.5-1.9秒負け + 休み明け区分=休み明け2戦目
札幌,芝,1200,2,距離変化帯,延長100-200m,前走脚質帯,追込/後方,,,45,1,2.22,1959,20.62,0.108,2.3,消寄A,,距離変化帯=延長100-200m + 前走脚質帯=追込/後方
札幌,芝,1200,2,芝ダ替わり,ダ→芝,前走着差帯,0.6-0.9秒負け,,,39,1,2.56,1959,20.62,0.124,1.99,消寄A,,芝ダ替わり=ダ→芝 + 前走着差帯=0.6-0.9秒負け
札幌,芝,1200,2,前走着差帯,1.0-1.4秒負け,頭数変化,今回かなり頭数増,,,34,1,2.94,1959,20.62,0.143,1.74,消寄A,,前走着差帯=1.0-1.4秒負け + 頭数変化=今回かなり頭数増
札幌,芝,1200,2,距離変化帯,延長100-200m,頭数変化,今回かなり頭数増,,,61,2,3.28,1959,20.62,0.159,3.11,消寄B,,距離変化帯=延長100-200m + 頭数変化=今回かなり頭数増
札幌,芝,1200,2,芝ダ替わり,ダ→芝,前走脚質帯,追込/後方,,,60,2,3.33,1959,20.62,0.162,3.06,消寄B,,芝ダ替わり=ダ→芝 + 前走脚質帯=追込/後方
札幌,芝,1200,2,前走着差帯,1.0-1.4秒負け,前走脚質帯,先行/好位,,,50,2,4.0,1959,20.62,0.194,2.55,消寄B,,前走着差帯=1.0-1.4秒負け + 前走脚質帯=先行/好位
札幌,芝,1200,2,芝ダ替わり,ダ→芝,距離変化帯,延長100-200m,,,104,5,4.81,1959,20.62,0.233,5.31,消寄B,,芝ダ替わり=ダ→芝 + 距離変化帯=延長100-200m
札幌,芝,1200,2,前走着順帯,前走10着以下,頭数変化,今回頭数増,,,147,8,5.44,1959,20.62,0.264,7.5,消寄C,,前走着順帯=前走10着以下 + 頭数変化=今回頭数増
札幌,芝,1200,2,前走着差帯,1.0-1.4秒負け,今回頭数帯,16頭以上,,,146,10,6.85,1959,20.62,0.332,7.45,消寄C,,前走着差帯=1.0-1.4秒負け + 今回頭数帯=16頭以上
札幌,芝,1200,2,前走着順帯,前走10着以下,前走脚質帯,追込/後方,,,210,16,7.62,1959,20.62,0.369,10.72,消寄C,,前走着順帯=前走10着以下 + 前走脚質帯=追込/後方
札幌,芝,1200,2,前走着順帯,前走10着以下,前走4角位置,4角11番手以下,,,165,13,7.88,1959,20.62,0.382,8.42,消寄C,,前走着順帯=前走10着以下 + 前走4角位置=4角11番手以下
札幌,芝,1200,2,前走着順帯,前走10着以下,休み明け区分,休み明け4戦目以降,,,200,16,8.0,1959,20.62,0.388,10.21,消寄C,,前走着順帯=前走10着以下 + 休み明け区分=休み明け4戦目以降
札幌,芝,1500,2,前走着差帯,2.0秒以上負け,前走4角位置,4角11番手以下,,,28,0,0.0,971,23.89,0.0,2.88,消寄A,,前走着差帯=2.0秒以上負け + 前走4角位置=4角11番手以下
札幌,芝,1500,2,前走着差帯,1.5-1.9秒負け,休み明け区分,休み明け2戦目,,,20,0,0.0,971,23.89,0.0,2.06,消寄A,,前走着差帯=1.5-1.9秒負け + 休み明け区分=休み明け2戦目
札幌,芝,1500,2,前走着差帯,2.0秒以上負け,前走脚質帯,追込/後方,,,40,1,2.5,971,23.89,0.105,4.12,消寄A,,前走着差帯=2.0秒以上負け + 前走脚質帯=追込/後方
