分類,場所,コースタイプ,芝・ダ,距離帯,馬場分類,枠ゾーン,血統区分,血統名,母数,勝利数,複勝数,勝率,複勝率,単勝回収率,複勝回収率,平均人気,基準複勝率,複勝率差,リフト,評価,特徴コメント
競馬場×距離帯×馬場×枠,東京,直線長め・持続型,芝,短中距離(1400-1600),稍,内枠(1-2),母父系統,ニアークティック系,210,15,52,0.0714,0.2476,53.0,0.0,7.66,0.2063,0.0413,1.2,A,東京芝短中距離(1400-1600)・稍・内枠(1-2)で母父系統「ニアークティック系」は基準比リフト1.2
競馬場×距離帯×馬場×枠,京都,平坦・スピード型,ダ,短中距離(1400-1600),良,中枠(3-6),母父,ブライアンズタイム,150,11,36,0.0733,0.24,51.9,0.0,8.17,0.2,0.04,1.2,A,京都ダ短中距離(1400-1600)・良・中枠(3-6)で母父「ブライアンズタイム」は基準比リフト1.2
競馬場×距離帯×馬場×枠,小倉,小回り・機動型,芝,短距離(1000-1300),稍,外枠(7-8),父系統,父系統不明,263,23,58,0.0875,0.2205,89.8,0.0,8.65,0.1838,0.0367,1.2,A,小倉芝短距離(1000-1300)・稍・外枠(7-8)で父系統「父系統不明」は基準比リフト1.2
競馬場×距離帯×馬場×枠,東京,直線長め・持続型,ダ,短中距離(1400-1600),良,内枠(1-2),母父,ブライアンズタイム,199,14,40,0.0704,0.201,58.4,0.0,8.29,0.1677,0.0333,1.199,A,東京ダ短中距離(1400-1600)・良・内枠(1-2)で母父「ブライアンズタイム」は基準比リフト1.199
競馬場×距離帯×馬場×枠,京都,平坦・スピード型,ダ,中距離(1700-2000),稍,中枠(3-6),母父系統,ネイティヴダンサー系,456,45,124,0.0987,0.2719,166.4,0.0,7.12,0.2269,0.045,1.198,A,京都ダ中距離(1700-2000)・稍・中枠(3-6)で母父系統「ネイティヴダンサー系」は基準比リフト1.198
競馬場×距離帯×馬場×枠,新潟,直線長め・平坦型,芝,短距離(1000-1300),良,外枠(7-8),父系統,父系統不明,426,41,119,0.0962,0.2793,78.5,0.0,6.96,0.2335,0.0458,1.196,A,新潟芝短距離(1000-1300)・良・外枠(7-8)で父系統「父系統不明」は基準比リフト1.196
競馬場×距離帯×馬場×枠,小倉,小回り・機動型,ダ,短距離(1000-1300),良,中枠(3-6),父系統,父系統不明,334,33,89,0.0988,0.2665,77.3,0.0,6.81,0.2229,0.0436,1.196,A,小倉ダ短距離(1000-1300)・良・中枠(3-6)で父系統「父系統不明」は基準比リフト1.196
競馬場×距離帯×馬場×枠,中京,直線長め・持続型,ダ,短距離(1000-1300),稍,中枠(3-6),母父系統,ニアークティック系,194,17,48,0.0876,0.2474,77.7,0.0,7.89,0.2068,0.0406,1.196,A,中京ダ短距離(1000-1300)・稍・中枠(3-6)で母父系統「ニアークティック系」は基準比リフト1.196
競馬場×距離帯×馬場×枠,東京,直線長め・持続型,ダ,短中距離(1400-1600),稍,中枠(3-6),父系統,ナスルーラ系,331,25,75,0.0755,0.2266,78.3,0.0,8.11,0.1894,0.0372,1.196,A,東京ダ短中距離(1400-1600)・稍・中枠(3-6)で父系統「ナスルーラ系」は基準比リフト1.196
競馬場×距離帯×馬場×枠,中山,坂あり・パワー型,ダ,中距離(1700-2000),良,中枠(3-6),母父,サンデーサイレンス,530,50,126,0.0943,0.2377,176.6,0.0,7.52,0.199,0.0387,1.194,A,中山ダ中距離(1700-2000)・良・中枠(3-6)で母父「サンデーサイレンス」は基準比リフト1.194
競馬場×距離帯×馬場×枠,函館,小回り・持続型,芝,短距離(1000-1300),良,内枠(1-2),母父系統,ナスルーラ系,192,20,60,0.1042,0.3125,109.3,0.0,7.1,0.262,0.0505,1.193,A,函館芝短距離(1000-1300)・良・内枠(1-2)で母父系統「ナスルーラ系」は基準比リフト1.193
競馬場×距離帯×馬場×枠,函館,小回り・持続型,ダ,短距離(1000-1300),良,外枠(7-8),父系統,父系統不明,183,20,57,0.1093,0.3115,60.5,0.0,5.92,0.261,0.0505,1.193,A,函館ダ短距離(1000-1300)・良・外枠(7-8)で父系統「父系統不明」は基準比リフト1.193
競馬場×距離帯×馬場×枠,東京,直線長め・持続型,ダ,短中距離(1400-1600),良,中枠(3-6),父,サウスヴィグラス,235,15,56,0.0638,0.2383,110.5,0.0,8.44,0.1997,0.0386,1.193,A,東京ダ短中距離(1400-1600)・良・中枠(3-6)で父「サウスヴィグラス」は基準比リフト1.193
競馬場×距離帯×馬場×枠,小倉,小回り・機動型,芝,短距離(1000-1300),良,外枠(7-8),父系統,父系統不明,804,73,190,0.0908,0.2363,74.9,0.0,7.93,0.1981,0.0382,1.193,A,小倉芝短距離(1000-1300)・良・外枠(7-8)で父系統「父系統不明」は基準比リフト1.193
競馬場×距離帯×馬場×枠,中山,坂あり・パワー型,ダ,短距離(1000-1300),重不良,内枠(1-2),母父系統,ニアークティック系,219,7,37,0.032,0.1689,23.8,0.0,8.42,0.1416,0.0273,1.193,A,中山ダ短距離(1000-1300)・重不良・内枠(1-2)で母父系統「ニアークティック系」は基準比リフト1.193
